Number,Other Numbers,Name,Class,Description,Longer Description,Material,Dimensions,Acoustic Measure,Provenance,Maker,Date,Location,Source,Acquired,Previous Owners,Mark,Labels,Information,Publication,Image,Sound Recording,Playable,Condition,Recorder
4158,,Clarinet,Reed Instruments,"Clarinet of wood with plastic and metal mouthpiece and single metal key. With flared bell and metal thumbrest.  There are seven fingerholes, the two lowest ones double holes, and a thumbhole. ",,Wood PlantMetalPlastic Synthetic,Max L = 352 mm  Max Diam [bell] = 50 mm,,Germany,Sheppard (dealer),20th century,Workroom - B1 - Box 13,Dr Shawcross,06/06/2006,,SHEPPARD SCHOOL CLARINET [below thumbrest]  Germany [above thumbhole],,"I have found no information on an instrument maker called Sheppard. The only possibly reference is to a musical instrument retailer Leslie Sheppard in Burgess Hill,  Sussex. [EB 15/10/2012]",,Collections Image 15-10-2012,,yes (needs reed),"Good condition, some wear and tear on the mouthpiece. ",Elin Bornemann [15/10/2012]
4155,,Chalumeau,Reed Instruments,"Chalumeau, reed instrument, straight wooden tube with seven fingerholes (the last two double holes) and a thumbhole and a plastic and metal mouthpiece like that of a clarinet, fitted with a reed.",,Wood PlantMetalPlastic Synthetic,Max L = 346 mm  Max Diam = 27 mm,,"Germany, Saxony, Markneukirchen",Adler,20th century,Workroom - A2 - Box 27,Dr Shawcross,Donated 06/06/2006,,ADLER [above fingerholes]  Made in Germany [above thumbhole]  BUFFET Crampons Cie A PARIS [on mouthpiece],,,,Collections Image 15-10-2012,,yes,Good condition.,Elin Bornemann [15/10/2012]
527,,Xaphoon,Reed Instruments,"Xaphoon, a reed instrument, slightly flaring plastic tube with single reed attached by metal clamps. With eight fingerholes and a thumbhole. The instrument is similar to a chalumeau and was invented by the maker.",,Plastic SyntheticMetal,Max L = 315 mm  Max Diam = 31 mm,,"USA, Hawaii, Maui",Brian Wittman,late 20th/early 21st century,Workroom - A2 - Box 27,Dr Shawcross,Donated 06/06/2006,,"MAUI XAPHOON  B. Wittman POB 1163 PAIA, HAWAII 96779 U.S.A. US Pat. 0262035",,The maker's official website is at Xaphoon.com.,,Collections Image 15-10-2012,,yes,Good condition.,Elin Bornemann [15/10/2012]
0309,,Recorder,Flutes,"Treble recorder of rosewood with a chin key, a key which closes the foot and a thumbrest, all of brass. The thumbhole is bushed with ivory. The tenons are cork lapped.",,Rosewood PlantCork PlantBrass MetalIvory Tooth Animal,Max L [key closed] = 485 mm  Max Diam [foot] = 41 mm,F at 440 Hz - 20 cents,"UK, England, Haslemere",Arnold Dolmetsch,20th century,Workroom - B1 - Box 10,Alec Loretto,,,DOLMETSCH 8509,,,,Collections Image 16-10-2012,,yes,"Fair condition, some corrosion on the keys which has stained the wood. ",Elin Bornemann [16/10/2012]
0307,,Recorder,Flutes,Treble recorder of rosewood with cork-lapped tenons. ,,Rosewood PlantCork Plant,Max L = 497 mm  Max Diam [foot] = 47 mm,F at 415 Hz ,"Germany, Sellstedt",Klaus Scheele,second half 20th century,Workroom Box 10,Alec Loretto,,,,,"The provenance was originally given as Loxstedt, which is the neighbouring district of Sellstedt. The maker's website gives the address as Sellstedt. See www.flautodolce.de.
The old catalogue gave the information that Alec Loretto 'says its date was September 1972', although whether this is the date when the instrument was made or when it was acquired by Alec Loretto is not clear.",,Collections Image 16-10-2012,,yes,Good condition.,Elin Bornemann [16/10/2012]
0257,,Recorder Part,Flutes,"Descant recorder head of wood, stained dark brown.",,Wood Plant,Max L = 118 mm  Max W = 30 mm,,Germany,Schott,second half 20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S MADE IN GERMANY CONCERT B [kitemark] S 3499 PART 2A,,,,Collections Image 16-10-2012,,yes (but it's only a head),Good condition.,Elin Bornemann [16/10/2012]
0209,,Recorder Part,Flutes,Descant recorder head of wood with white plastic beak.,,Wood PlantPlastic Synthetic,Max L = 128 mm  Max W = 31 mm,,"UK, England",Schott,second half 20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S C MADE IN ENGLAND PAT. No. 793062,,,,Collections Image 16-10-2012,,yes (but it's only a head),Good condition.,Elin Bornemann [16/10/2012]
0241,,Recorder,Flutes,"Descant recorder of dark brown plastic, body and foot in one piece. The foot ring, the base of the head and the top of the head just below the mouthpiece have a small flattened section. ",,Plastic Synthetic,Max L = 320 mm  Max W = 34 mm,,"UK, England",Schott,second half 20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S DESCANT C MADE IN ENGLAND ,,Designed by Edgar Hunt.,,Collections Image 16-10-2012,,yes ,Good condition.,Elin Bornemann [16/10/2012]
0203,,Recorder,Flutes,"Descant recorder of dark brown plastic, with cork lapped tenon at upper end of body and cork lined socket on the foot. ",,Plastic SyntheticCork Plant,Max L = 315 mm  Max W = 31 mm,,"UK, England",Dolmetsch,second half 20th century,Workroom - B1 - Box 10,Edgar Hunt,,,MADE IN ENGLAND PAT. No. 665757 BS 3499 [kitemark] DOLMETSCH DOLONITE DESCANT RECORDER FINISHED & TESTED IN HASLEMERE,,,,Collections Image 17-10-2012,,yes ,Good condition.,Elin Bornemann [16/10/2012]
0217,,Recorder,Flutes,"Descant recorder of wood, with one-piece body.",,Wood Plant,Max L = 310 mm  Max W = 29 mm,c,"Germany, Saxony, Markneukirchen",Wilhelm Herwig,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,Herwiga Hamlin,,,,Collections Image 16-10-2012,,would be if clean,"Fair condition, spots of mould all over the surface.",Elin Bornemann [16/10/2012]
0232,,Recorder,Flutes,"Descant recorder of wood, with one-piece body.",,Wood Plant,Max L = 310 mm  Max W = 29 mm,,"Germany, Saxony, Markneukirchen",Wilhelm Herwig,20th century ,Workroom - B1 - Box 10,Edgar Hunt,,,Herwiga Hamlin,Piece of paper found with the recorder: 'Herwiga Hamlin. This was widely used in UK schools before the war (particularly W. Riding of Yorkshire). It sold for 4/6! stocks were exhausted by Xmas 1939' ,,,Collections Image 16-10-2012,,would be if clean,"Fair condition, spots of mould all over the surface.",Elin Bornemann [16/10/2012]
0249,,Recorder,Flutes,"Descant recorder of wood stained dark brown, with one-piece body. Head socket lapped with cork.",,Wood PlantCork Plant,Max L = 310 mm  Max W = 30 mm,c,Germany,Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S MADE IN GERMANY CONCERT B [kitemark] S 3499 PART 2A,,,,Collections Image 16-10-2012,,yes,Good condition,Elin Bornemann [16/10/2012]
0210,,Recorder,Flutes,"Descant recorder of wood, with plastic block, foot and body in one piece. ",,Wood PlantPlastic Synthetic,Max L = 310 mm  Max W = 30 mm,c,"UK, England",Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S C MADE IN ENGLAND PROV. PATENT,,,,,,yes,Good condition,Elin Bornemann [16/10/2012]
0200,,Recorder,Flutes,"Descant recorder of black plastic, body and foot in one piece.",,Plastic Synthetic,Max L = 324 mm  Max W = 31 mm,,"UK, England",Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S C DESCANT MADE IN ENGLAND REG. DES. 836185,,According to Edgar Hunt this is a prototype.,,Collections Image 16-10-2012,,yes,"Fair condition, needs cleaning.",Elin Bornemann [16/10/2012]
0198,,Recorder,Flutes,"Descant recorder of black plastic, body and foot in one piece.",,Plastic Synthetic,Max L = 322 mm  Max W = 28 mm,,"UK, England",Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S C DESCANT MADE IN ENGLAND REGD. DESIGN,,According to Edgar Hunt this is a prototype.,,Collections Image 16-10-2012,,yes,Good condition,Elin Bornemann [16/10/2012]
0243,,Recorder,Flutes,"Descant recorder of brown plastic, foot and body in one piece. The foot, the base of the head and the the top of the head have a small flattened section.",,Plastic Synthetic,Max L = 317 mm  Max W = 34 mm,c,"UK, England",Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,2 SCHOTT APPROVED [kitemark] BRITISH STANDARD BS MADE IN ENGLAND,Piece of paper found with the recorder: 'Schott Plastic descant designed by E.H. last model',Designed by Edgar Hunt.,,Collections Image 17-10-2012,,yes,"Good condition, needs a bit of cleaning",Elin Bornemann [16/10/2012]
0211,,Recorder,Flutes,"Descant recorder of wood with plastic block, body and foot in one piece.",,Wood PlantPlastic Synthetic,Max L = 317 mm  Max W = 34 mm,c,"UK, England",Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S C MADE IN ENGLAND PROV. PATENT,,,,Collections Image 17-10-2012,,yes,Good condition.,Elin Bornemann [16/10/2012]
0218,,Recorder,Flutes,"Descant recorder of wood with one-piece body, head socket is cork-lapped.",,Wood Plant,Max L = 310 mm  Max W = 31 mm,,"UK, England?",Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,,,,,Collections Image 17-10-2012,,would be if clean,"Fair condition, mouldy on the surface.",Elin Bornemann [16/10/2012]
0260,,Recorder Part,Flutes,"Descant recorder head of wood, the socket lined with plastic.",,Wood PlantPlastic Synthetic,Max L = 115 mm  Max W = 28 mm,,"UK, England?",Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,,,,,Collections Image 17-10-2012,,yes (but it's only a head),"Fair condition, mouldy on the surface.",Elin Bornemann [16/10/2012]
0259,,Recorder Part,Flutes,"Descant recorder head of wood, the socket lined with plastic.",,Wood PlantPlastic Synthetic,Max L = 115 mm  Max W = 28 mm,,"UK, England?",Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,,,,,Collections Image 17-10-2012,,yes (but it's only a head),Good condition.,Elin Bornemann [16/10/2012]
0238,,Recorder,Flutes,"Descant recorder of wood, stained dark brown, one piece body. Head socket lapped with cork.",,Wood PlantCork Plant,Max L = 115 mm  Max W = 28 mm,c,Germany,Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S MADE IN GERMANY CONCERT B [kitemark] S 3499 PART 2A,,,,Collections Image 17-10-2012,,yes,Good condition.,Elin Bornemann [16/10/2012]
0212,,Recorder,Flutes,"Descant recorder of wood with plastic block, foot and body in one piece. ",,Wood PlantPlastic Synthetic,Max L = 316 mm  Max W = 31 mm,c,"UK, England",Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT'S C MADE IN ENGLAND PROV. PATENT,,,,Collections Image 17-10-2012,,yes,Good condition.,Elin Bornemann [16/10/2012]
0213,,Recorder,Flutes,"Descant recorder of wood with one-piece body, with plastic rings at the bottom of the foot and the bottom of the head.",,Wood PlantPlastic Synthetic,Max L = 325 mm  Max W = 31 mm,c,Germany,Schott,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,SCHOTT Prelude MADE IN W. GERMANY,,,,Collections Image 17-10-2012,,yes,Good condition.,Elin Bornemann [16/10/2012]
0216,,Recorder,Flutes,"Descant recorder of wood stained dark brown, with one-piece body.",,Wood Plant,Max L = 318 mm  Max W = 30 mm,c,"Germany, Saxony, Markneukirchen",Wilhelm Herwig,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,Herwiga Herwiga School,,,,Collections Image 17-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0205,,Recorder,Flutes,Descant recorder of white plastic.,,Plastic Synthetic,Max L = 322 mm  Max W = 28 mm,c,Japan,anon,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,Z Recorder [on head]  Japan [on foot],,,,Collections Image 17-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0133,,Recorder,Flutes,"Descant recorder of dark brown plastic with white plastic on the mouthpiece, the head socket, around the thumbhole, the foot socket and the bottom of the foot.",,Plastic Synthetic,Max L = 318 mm  Max W = 33 mm,c at 440 Hz,Japan,Zen-on,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,"Stanesby Junior [trefoil] [on head, body and foot] ZEN-ON [on head]   JAPAN [on body]",,,,Collections Image 17-10-2012,,yes,Good condition slighly dirty.,Elin Bornemann [17/10/2012]
0204,,Recorder,Flutes,Descant recorder of dark brown plastic with white plastic on the mouthpiece and the bottom of the foot. The block has a layer of wood.,,Plastic SyntheticWood Plant,Max L = 296 mm  Max W = 38 mm,c ,U.S.A.,Dushkin,20th century,Workroom - B1 - Box 10,Edgar Hunt?,,,DUSHKIN RECORDER MADE IN U.S.A. [on head]  DUSHKIN [on mouthpiece],,,,Collections Image 17-10-2012,,yes,"Fair condition, slighly dirty, block slightly warped.",Elin Bornemann [17/10/2012]
0202,,Recorder,Flutes,Descant recorder of dark brown plastic with cork lapped tenons.,,Plastic SyntheticCork Plant,Max L = 296 mm  Max W = 38 mm,c ,"UK, England, Haslemere",Dolmetsch,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,MADE IN ENGLAND PAT. NO. 665757 DOLMETSCH DESCANT RECORDER FINISHED & TESTED IN HASLEMERE,,,,Collections Image 17-10-2012,,yes,"Good condition, slighly dirty.",Elin Bornemann [17/10/2012]
10004,,Recorder,Flutes,Descant recorder of dark brown plastic with cork lapped tenons.,,Plastic SyntheticCork Plant,Max L = 313 mm  Max W = 30 mm,,"UK, England",Dolmetsch,20th century,Workroom - B1 - Box 10,Unaccessioned stock,entered in records 30/01/2012,,MADE IN ENGLAND DOLMETSCH DESCANT RECORDER PATENT APPLIED FOR,,,,Collections Image 17-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0384,D/III.6,Recorder,Flutes,"Treble recorder of rosewood, thumbhole bushed with ivory or white plastic.",,Rosewood PlantIvory Tooth Animal?Plastic Synthetic?,Max L = 472 mm  Max W = 42 mm,,Netherlands,Hans Coolsma,20th century,Workroom Box 10,Jean Henry,1999-2000,,"HANS COOLSMA [head, body and foot]  5716 [on body]",,,,Collections Image 17-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0252,,Recorder,Flutes,Descant recorder of varnished wood with cork lined socked on the head and cork lapped tenon on the foot. ,,Wood PlantCork Plant,Max L = 323 mm  Max W = 31 mm,c,unknown,anon,20th century,Workroom - B1 - Box 10,Edgar Hunt,,,diamond-shaped paper label with the number 3 stuck to the head,,,,Collections Image 17-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0310,,Recorder,Flutes,"Descant recorder of rosewood, with a brass chin key, a brass key which closes the foot and a brass thumbrest.","Descant recorder of rosewood, with a brass chin key, a brass key which closes the foot and a brass thumbrest. The key on the foot is padded with leather, the thumbrest is lined with cork. The thumbhole is bushed with ivory, and the chin key has an ivory tip. The tenons are cork lapped.",Wood PlantCork PlantBrass MetalIvory Tooth AnimalLeather Skin Animal,Max L = 327 mm [with key open]  Max W = 29 mm,c at 440 Hz,"UK, England, Haslemere",Arnold Dolmetsch,20th century,Workroom - A1 - Box 7,Alec Loretto,,,"DOLMETSCH 5435 [on head, body and foot]",,,,Collections Image 18-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0206,,Recorder,Flutes,Descant recorder of wood with white plastic beak. Body and foot are in one piece. Tenon and head socket lined with black plastic. The ramp is also tipped with plastic.,,Wood PlantPlastic Synthetic,Max L = 327 mm [with key open]  Max W = 29 mm,c ,"UK, England",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT APPROVED MADE IN ENGLAND PAT. NO. 793062,,,,Collections Image 18-10-2012,,yes,"Good condition, beak slightly dirty.",Elin Bornemann [17/10/2012]
0286,,RecorderSixth flute,Flutes,Descant recorder of boxwood with foot and body in one piece. The tenon is cork lapped. Copy of a Denner sixth flute.,,Boxwood PlantCork Plant,Max L = 308 mm   Max W = 29 mm,D at 415 Hz,Switzerland,Andreas Kng,20th century,Workroom - A1 - Box 7,Alec Loretto,30/11 - 01/12/1991,,Kng Dennercopy,,Given at the Bate Recorder Weekend 30 Nov/1 Dec 1991.,,Collections Image 18-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0254,,Recorder,Flutes,"Sopranino recorder of wood (possibly beechwood), all in one piece.",,Wood Plant,Max L = 249 mm   Max W = 26 mm,f,"Spain, Barcelona",Ferrera,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,[pine tree] FERRERA BARCELONA,,,,Collections Image 18-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0214,,Recorder,Flutes,"Descant recorder of wood with plastic beak, foot and body in one piece.",,Wood PlantPlastic Synthetic,Max L = 318 mm   Max W = 34 mm,c,"UK, England?",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,,Piece of paper found with the instrument: 'Schott wooden descant Plastic mouthpiece in one piece',,,Collections Image 18-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0207,,Recorder,Flutes,"Descant recorder of wood with white plastic beak, foot and body in one piece. Tenon and head socket are lined with black plastic. The ramp is tipped with white plastic.",,Wood PlantPlastic Synthetic,Max L = 315 mm   Max W = 31 mm,c,"UK, England",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT APPROVED  MADE IN ENGLAND PAT.NO. 793062,,,,Collections Image 18-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0263,,Recorder,Flutes,"Sopranino recorder of wood, all in one piece. A hole opposite the lowest fingerhole has been filled in with wax.",,Wood PlantWax,Max L = 254 mm   Max W = 31 mm,F - 40 cents at A 440 Hz,"UK, England, Huddersfield",John Cousen,second half 20th century,Workroom - A1 - Box 7,John Cousen,,,[2 quatrefoils],,,,Collections Image 18-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0308,,Recorder,Flutes,"Descant recorder of rosewood, with cork lapped tenons. ",,Rosewood PlantCork Plant,Max L = 330 mm   Max W = 36 mm,c at 415 Hz,"Germany, Sellstedt",Klaus Scheele,second half 20th century,Workroom Box 7,Alec Loretto,,,"KS [on head, body and foot]",,"The provenance was originally given as Loxstedt, which is the neighbouring district of Sellstedt. The maker's website gives the address as Sellstedt. See www.flautodolce.de.
The old catalogue gave the information that Alec Loretto 'says its date was September 1972', although whether this is the date when the instrument was made or when it was acquired by Alec Loretto is not clear.",,Collections Image 18-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0250,,Recorder,Flutes,"Descant recorder of black plastic with wooden block, foot and body in one piece. The tenon is cork lapped.",,Plastic SyntheticCork Plant,Max L = 325 mm   Max W = 30 mm,c ,"Germany, Kassel",Brenreiter,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,[bear and star] BRENREITER,,,,Collections Image 18-10-2012,,yes,"Good condition, slightly dirty.",Elin Bornemann [17/10/2012]
0248,,Recorder,Flutes,"Descant recorder of wood stained medium brown, with one-piece body. The head socket is lined with cork.",,Wood PlantCork Plant,Max L = 307 mm   Max W = 30 mm,c ,Germany,Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT'S CONCERT MADE IN GERMANY,Written onto the back of the head by Edgar Hunt: 'Schreiber German fingering',,,Collections Image 18-10-2012,,yes,Good condition.,Elin Bornemann [17/10/2012]
0312,,Recorder Part,Flutes,Descant recorder head of wood with white plastic beak. The socket is lined with black plastic. The ramp is tipped with white plastic.,,Wood PlantPlastic Synthetic,Max L = 124 mm   Max W = 26 mm,,"UK, England",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT APPROVED MADE IN ENGLAND PAT. NO. 793062,"Piece of paper found with the object: 'After the original self-aligning design of the plastic mouthpiece fitting over the spigot which formed the sides of the windway and the shaping of the floor of the windway had been abandoned in favour of a single-unit plastic cap fitting on to a thicker and shorter spigot, the need for a more accurate alignment of the windway in relation to the lip was needed. An answer was this, in which the lip was made in plastic as part of the an extension of the block*. This was found to be far too labour intensive for mass production. Edgar Hunt  
*The spigot was now part of the block.",,,Collections Image 18-10-2012,,yes (but it's only a head),Good condition.,Elin Bornemann [18/10/2012]
0258,,Recorder Part,Flutes,Descant recorder head of wood. The socket is lined with plastic.,,Wood PlantPlastic Synthetic,Max L = 118 mm   Max W = 29 mm,,"UK, England?",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,,,,,Collections Image 18-10-2012,,"yes (but it's only a head, and mouldy)","Fair condition, spots of mould all over the surface.",Elin Bornemann [18/10/2012]
0255,,Recorder Part,Flutes,Descant recorder head of wood with white plastic beak and yellow plastic block.,,Wood PlantPlastic Synthetic,Max L = 127 mm   Max W = 31 mm,,"UK, England",Schott,20th century,Workroom - A1 - Box 7,Edgar Hunt,,,SCHOTT'S C MADE IN ENGLAND PAT. NO. 692491,,,,Collections Image 18-10-2012,,yes (but it's only a head),Good condition.,Elin Bornemann [18/10/2012]
